object # 0; status 0 (normal); sprite 0; width 0; height 0; depth 0; weight 0; aux 0
object # 1; status 0 (normal); sprite 0; width 13; height 14; depth 9; weight 1; aux 0
object # 2; status 0 (normal); sprite 13; width 13; height 13; depth 7; weight 0; aux 0
object # 3; status 0 (normal); sprite 26; width 16; height 16; depth 4; weight 1; aux 0
object # 4; status 0 (normal); sprite 39; width 8; height 8; depth 4; weight 1; aux 0
object # 5; status 0 (normal); sprite 52; width 8; height 8; depth 4; weight 0; aux 0
object # 6; status 0 (normal); sprite 65; width 32; height 16; depth 16; weight 2; aux 0
object # 7; status 0 (normal); sprite 78; width 20; height 5; depth 26; weight 1; aux 0
object # 8; status 0 (normal); sprite 91; width 32; height 16; depth 8; weight 2; aux 0
object # 9; status 0 (normal); sprite 104; width 11; height 4; depth 19; weight 3; aux 0
object # 10; status 5 (particle); sprite 117; width 11; height 2; depth 1; weight 3; aux 0
object # 11; status 5 (particle); sprite 128; width 4; height 128; depth 1; weight 3; aux 0
object # 12; status 5 (particle); sprite 132; width 4; height 128; depth 1; weight 3; aux 0
object # 13; status 5 (particle); sprite 136; width 5; height 1; depth 1; weight 3; aux 0
object # 14; status 6 (carobject); sprite 307; width 5; height 1; depth 1; weight 3; aux 0
object # 15; status 5 (particle); sprite 141; width 6; height 128; depth 1; weight 3; aux 0
object # 16; status 0 (normal); sprite 147; width 8; height 8; depth 10; weight 3; aux 0
object # 17; status 5 (particle); sprite 147; width 4; height 128; depth 1; weight 3; aux 0
object # 18; status 5 (particle); sprite 151; width 8; height 3; depth 16; weight 3; aux 0
object # 19; status 5 (particle); sprite 159; width 8; height 3; depth 1; weight 3; aux 0
object # 20; status 5 (particle); sprite 167; width 7; height 10; depth 1; weight 3; aux 0
object # 21; status 6 (carobject); sprite 148; width 8; height 8; depth 8; weight 3; aux 0
object # 22; status 0 (normal); sprite 149; width 8; height 8; depth 8; weight 2; aux 0
object # 23; status 7 (unknown); sprite 150; width 8; height 8; depth 8; weight 3; aux 0
object # 24; status 0 (normal); sprite 65; width 32; height 16; depth 16; weight 2; aux 0
object # 25; status 1 (ignorable); sprite 187; width 8; height 8; depth 1; weight 3; aux 0
object # 26; status 0 (normal); sprite 174; width 4; height 4; depth 8; weight 3; aux 0
object # 27; status 0 (normal); sprite 175; width 4; height 4; depth 4; weight 3; aux 0
object # 28; status 0 (normal); sprite 176; width 4; height 4; depth 4; weight 3; aux 0
object # 29; status 0 (normal); sprite 0; width 0; height 0; depth 0; weight 0; aux 0
object # 30; status 0 (normal); sprite 177; width 8; height 8; depth 8; weight 0; aux 0
object # 31; status 1 (ignorable); sprite 178; width 4; height 4; depth 4; weight 0; aux 0
object # 32; status 1 (ignorable); sprite 182; width 4; height 4; depth 4; weight 0; aux 0
